archetype_id,archetype_name,description,typical_account_count_min,typical_account_count_max,typical_lifetime_days_min,typical_lifetime_days_max,typical_layer_count_min,typical_layer_count_max,preferred_channels,footprint_type,timing_component,preferred_bank_type,typical_cards_per_account,typical_daily_cap_inr,state_weights
ARCH-001,Rural AePS Ring,Clusters of BC/agent-point cash-outs using Aadhaar authentication at rural customer service points; pattern documented in Jharkhand/UP rural fraud reporting (e.g. Jamtara-region rings covered in national press and state police press releases).,5,30,30,180,2,4,AGENT,local,slow,rural_banks_preferred,1,50000,"UP:0.45,JH:0.35,MH:0.1,HR:0.1"
ARCH-002,Urban ATM Splitter,Stolen funds split across many urban ATMs in one metro region within hours of the fraud; matches published police accounts of metro ATM cash-out crews in Mumbai/Pune/Gurugram.,10,60,14,90,3,6,ATM,regional,fast,any_bank,2,40000,"MH:0.4,HR:0.3,UP:0.2,JH:0.1"
ARCH-003,State-hopping Multi-bank Network,Accounts opened across several states and banks; layering moves funds cross-state before cash-out; consistent with inter-state gang busts reported by MHA/I4C and state police.,20,200,60,365,4,10,"ATM,BRANCH,AGENT",multi_state,mixed,any_bank,2,50000,"UP:0.35,MH:0.3,HR:0.2,JH:0.15"
ARCH-004,Branch Counter / Cheque Network,High-value withdrawals at branch counters via current accounts and self cheques; reported in bank-fraud CBI/state cases involving shell current accounts.,5,25,90,365,3,8,BRANCH,regional,slow,any_bank,1,100000,"MH:0.35,UP:0.3,HR:0.2,JH:0.15"
ARCH-005,Payments-bank Mule Ring,Mule accounts concentrated in payments banks / SFBs with agent-assisted onboarding; cash-out via micro-ATMs and agents; flagged in RBI/NPCI advisories on BC-channel abuse covered in press.,10,80,7,60,3,5,"AGENT,ATM",regional,fast,any_bank,1,50000,"UP:0.4,JH:0.25,MH:0.2,HR:0.15"
ARCH-006,Short-lived Burner Cluster,"Cluster activated for under a week around a campaign, then abandoned; matches police descriptions of disposable mule batches sourced via Telegram job scams.",5,20,1,7,2,4,"ATM,AGENT",local,fast,any_bank,1,40000,"UP:0.3,MH:0.3,HR:0.25,JH:0.15"
ARCH-007,Long-running Dormant Ring,Aged accounts kept dormant for months and activated in bursts; noted in investigative reporting on rented-account networks (accounts rented from students/villagers).,20,150,90,180,4,8,"ATM,BRANCH",regional,mixed,any_bank,2,50000,"UP:0.35,MH:0.3,JH:0.2,HR:0.15"
ARCH-008,Cross-state ATM Runner Network,Runners stationed near ATMs in multiple states withdraw on cue from a remote operator; matches arrested runner-gang reports from Delhi-NCR and Mumbai police.,15,100,30,120,4,8,ATM,multi_state,fast,any_bank,3,40000,"MH:0.35,HR:0.3,UP:0.25,JH:0.1"
ARCH-009,Jamtara-style Phishing Ring,Local caller crews run OTP phishing and cash out at nearby agents/ATMs; pattern grounded in extensive public reporting on Jamtara (JH) and similar eastern-UP/Bihar belts (no individuals named).,4,15,30,240,2,3,"AGENT,ATM",local,mixed,rural_banks_preferred,1,50000,"JH:0.55,UP:0.3,MH:0.1,HR:0.05"
ARCH-010,Call-centre Impersonation Ring,Fake call centres impersonating LEA/support drive victims to transfer into layered accounts; grounded in CBI Operation Chakra busts and Noida/Gurugram call-centre raids covered publicly.,25,150,60,240,4,9,"ATM,BRANCH",multi_state,fast,any_bank,2,40000,"HR:0.35,UP:0.35,MH:0.2,JH:0.1"
ARCH-011,Shell-current-account Layering Network,"Layers of shell-firm current accounts for high-value fraud proceeds, cashed at branches; mirrors ED/CBI press releases on shell-entity laundering.",8,40,120,365,5,12,BRANCH,multi_state,slow,any_bank,1,200000,"MH:0.4,UP:0.25,HR:0.25,JH:0.1"
ARCH-012,Crypto-offramp Hybrid Ring,"Fraud proceeds partly converted to crypto via P2P, remainder cashed at ATMs/agents; pattern described in I4C/state-police advisories on USDT off-ramps covered in press.",10,60,14,90,4,8,"ATM,AGENT",multi_state,mixed,any_bank,2,50000,"MH:0.35,HR:0.25,UP:0.25,JH:0.15"
