param_key,param_label,prior_value,prior_type,confidence,source,source_url,sweep_values,notes
load.complaints_per_day,Daily complaint volume (simulated financial-fraud complaints/day),8000,range,medium,"assumed (spec default); real anchor: NCRP 2024 total 22,68,346 complaints (~6,214/day all cybercrime) and 19,18,865 financial-fraud complaints (~5,257/day) per MHA LS USQ 344 (22.07.2025)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2025-pdfs/LS22072025/344.pdf,"5257,6500,8000","Spec default 6,500-8,000 kept; note computed 2024 average is ~5,257/day for financial fraud"
amounts.mean_paise,Mean fraud loss per complaint (paise),9400000,point,medium,"Spec prior ~Rs 94,000 (2025); computed 2024 national average = Rs 22,845.73 crore / 19,18,865 = ~Rs 1,19,108 (MHA LS USQ 344, 22.07.2025)",https://www.mha.gov.in/MHA1/Par2017/pdfs/par2025-pdfs/LS22072025/344.pdf,"9400000,11910800",Spec value kept as prior; 2024 computed average shown for sweep
network.layers,Fund-hop layers before cash-out,"2-12, median 4",range,low,assumed - no public dataset on layering depth,,"3,4,6",Analytical assumption
network.accounts_per_cluster,Mule accounts per cluster,"10-20000, median 100",range,low,assumed; contextual anchor: I4C shared 24 lakh layer-1 mule accounts with banks (MHA LS USQ 344),https://www.mha.gov.in/MHA1/Par2017/pdfs/par2025-pdfs/LS22072025/344.pdf,"50,100,500",Distribution spans tiny local rings to industrial-scale networks
caps.card_atm_daily_inr,Debit-card ATM daily withdrawal cap (INR),50000,range,medium,"Bank schedules of charges; e.g. SBI standard debit cards max Rs 40,000/day, premium cards Rs 1,00,000/day (sbi.bank.in card pages)",https://sbi.bank.in/web/personal-banking/cards/debit-card/sbi-global-international-debit-car,"40000,50000,100000","Range Rs 20,000-1,00,000 across issuers and card variants"
caps.cardless_atm_txn_inr,Cardless/UPI-ATM (ICCW) per-transaction cap (INR),10000,point,high,"NPCI UPI-ATM (ICCW) guidelines: Rs 10,000 per transaction",https://www.npci.org.in/uploads/UPI_ATM_ICCW_Brand_Guidelines_004411d960.pdf,,
caps.aeps_txn_inr,AePS per-transaction cash-out cap (INR),10000,point,high,"NPCI AePS product limit: Rs 10,000 per transaction (NPCI AePS FAQs / product documents)",https://www.npci.org.in/what-we-do/aeps/faqs,,
caps.aeps_daily_inr,AePS daily cash-out cap (INR),10000-50000,range,medium,"NPCI Circular OC 87 (02.11.2023): recommended monthly cumulative cap Rs 50,000 (rolling 30 days); daily caps are issuer-bank-set",https://www.npci.org.in/PDF/aeps/circular/2023-24/AePS-OC-87-AePS-transaction-limits.pdf,"20000,50000",
timing.mixture.fast_median_min,Fast cash-out component median (minutes),60,point,low,assumed - no published timing distribution,,"15,60,240",Sweep per spec
timing.mixture.slow_median_hours,Slow cash-out component median (hours),48,point,low,assumed - no published timing distribution,,"12,48,168",Sweep candidate values added
timing.mixture.fast_weight,Weight of fast component in timing mixture,0.6,point,low,assumed,,"0.4,0.6,0.8",Sweep per spec
